"plotcode","stem_id","diam","pom","height","family","genus","species","year","gen_sp","group","height_method"
"ABG-001","ABG-001_1",8.3,130,4.8,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_1",12,130,3.6,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_1",6.7,130,2.6,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","stick"
"ABG-003","ABG-003_1",10.6,130,9.2,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","stick"
"ABG-001","ABG-001_2",7.1,140,4.4,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_2",83,130,20.6,"Fabaceae","Brachystegia","glaucescens",2017,"Brachystegia glaucescens","bicuar","laser"
"ABG-002","ABG-002_2",42,130,14.2,"Fabaceae","Erythrophleum","africanum",2017,"Erythrophleum africanum","bicuar","laser"
"ABG-003","ABG-003_2",7.4,130,4.4,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-001","ABG-001_3",9.3,130,NA,"Fabaceae","Burkea","africana",2017,"Burkea africana","bicuar","laser"
"ABG-004","ABG-004_3",6.3,120,5,"Fabaceae","Bobgunnia","madagascariensis",2017,"Bobgunnia madagascariensis","bicuar","laser"
"ABG-002","ABG-002_3",8.2,130,4.4,"Combretaceae","Terminalia","brachystemma",2017,"Terminalia brachystemma","bicuar","laser"
"ABG-003","ABG-003_3",9.5,130,7.8,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_4",28.1,130,10.2,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-004","ABG-004_4",5.8,130,5.8,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-002","ABG-002_4",7.5,130,3.4,"Combretaceae","Combretum","zeyheri",2017,"Combretum zeyheri","bicuar","laser"
"ABG-003","ABG-003_4",8.8,130,7.2,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
"ABG-001","ABG-001_5",6.5,130,4.6,"Combretaceae","Combretum","collinum",2017,"Combretum collinum","bicuar","laser"
"ABG-004","ABG-004_5",9.3,130,5,"Fabaceae","Baphia","bequaertii",2017,"Baphia bequaertii","bicuar","laser"
"ABG-002","ABG-002_5",12,130,2.6,"Fabaceae","Julbernardia","paniculata",2017,"Julbernardia paniculata","bicuar","laser"
