"plotcode","stem_id","diam","pom","height","family","genus","species","year","gen_sp","group"
"MGR-008","7918",5.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7919",8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7920",8.7,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7921",8.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7922",9.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7923",5.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7924",6.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7925",9.3,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7926",9.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7927",9.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7928",10.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7929",10.3,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7930",10.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7931",10.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7932",9.7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7933",10.9,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7934",10.9,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7935",10.9,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7936",11.1,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7937",5.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7938",6.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7939",6.9,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7940",6.9,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7941",6.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7942",9.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7943",9.7,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7944",9.7,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7945",9.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7946",7.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7947",5.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7948",6.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7949",6.7,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7950",6.8,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7951",6.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7952",5.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7953",7.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7954",15.2,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7956",15.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7957",16.4,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7958",7,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7959",7.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7960",7.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7961",7,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7962",13,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7963",13.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7964",13.4,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7965",13,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7966",6.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7967",8.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7968",9.4,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7969",9.7,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7970",10.8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7971",5.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7972",11.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7973",11.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7974",11.2,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7975",10.5,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7976",6.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7977",16.2,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7978",16.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7979",16.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7980",17.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7981",7.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7982",11.4,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7983",11.3,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7984",11.4,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7985",11.2,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7986",5.2,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7987",6.2,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7988",6.5,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7989",7.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7990",8,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7991",9.2,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7992",9.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7993",9.4,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7994",8.9,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7995",5.3,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","7996",6,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
"MGR-008","7997",6.1,130,NA,"Combretaceae","Combretum",NA,2007,"Combretum NA","mlunguya"
"MGR-008","7998",6.3,130,NA,"Combretaceae","Combretum",NA,2008,"Combretum NA","mlunguya"
"MGR-008","7999",6.1,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8000",7.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8001",5.6,130,NA,"Combretaceae","Combretum",NA,2010,"Combretum NA","mlunguya"
"MGR-008","8002",10.8,130,NA,"Combretaceae","Combretum",NA,2006,"Combretum NA","mlunguya"
