"family","genus","species","wd"
"Anacardiaceae","Sclerocarya","caffra",0.469
"Apocynaceae","Diplorhynchus","condylocarpon",0.671
"Fabaceae","Brachystegia","boehmii",0.646
"Fabaceae","Brachystegia","spiciformis",0.672
"Fabaceae","Burkea","africana",0.646666666666667
"Fabaceae","Dalbergia","melanoxylon",1.0772
"Fabaceae","Erythrophleum","africanum",0.878
"Fabaceae","Julbernardia","globiflora",0.78
"Fabaceae","Millettia","stuhlmannii",0.7675
"Fabaceae","Pterocarpus","angolensis",0.5606
"Malvaceae","Sterculia","quinqueloba",0.671
