Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Motacilla alba,Motacilla,Motacillidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,2.14,6.114,6.114,22,0.73,0.35,passage or breeding,citizen science data,passage or breeding,,1,inv,23.93,Dunning08,5,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Vanellus vanellus,Vanellus,Charadriidae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-4.103,3.22,-3.22,30,0.213,1.274,passage or breeding,citizen science data,passage or breeding,,1,inv,218.37,Dunning08,3,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Turdus philomelos,Turdus,Turdidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-4.957,2.228,-2.228,31,0.034,2.225,passage or breeding,citizen science data,passage or breeding,,3,other,67.74,Dunning08,3,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Haematopus ostralegus,Haematopus,Haematopodidae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-5.258,1.442,-1.442,32,0.001,3.646,passage or breeding,citizen science data,passage or breeding,,1,inv,526,Dunning08,3,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Larus ridibundus,Larus,Laridae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-4.26,1.155,-1.155,29,0.001,3.69,passage or breeding,citizen science data,passage or breeding,,2,inv,284,Dunning08,3,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Saxicola torquatus,Saxicola,Muscicapidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,2.82,4.7,4.7,20,0.556,0.6,passage or breeding,citizen science data,passage or breeding,,1,inv,14.09,Dunning08,5,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Numenius arquata,Numenius,Scolopacidae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-5.682,1.547,-1.547,30,0.001,3.674,passage or breeding,citizen science data,passage or breeding,,3,other,802.99,Dunning08,5,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-1.988,1.607,-1.607,24,0.229,1.237,passage or breeding,citizen science data,passage or breeding,,1,inv,17.15,Dunning08,1,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Tringa totanus,Tringa,Scolopacidae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-1.463,1.526,-1.526,22,0.349,0.959,passage or breeding,citizen science data,passage or breeding,,1,inv,129,Dunning08,4,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Anthus pratensis,Anthus,Motacillidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,2.396,4.351,4.351,17,0.59,0.551,passage or breeding,citizen science data,passage or breeding,,2,inv,18.4,Dunning08,4,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Riparia riparia,Riparia,Hirundinidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-4.465,1.857,-1.857,22,0.026,2.405,passage or breeding,citizen science data,passage or breeding,,1,inv,12.68,Dunning08,2,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-1.842,1.298,-1.298,30,0.167,1.419,passage or breeding,citizen science data,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-2.185,0.728,-0.728,36,0.005,3.002,passage or breeding,citizen science data,passage or breeding,,1,inv,8.7,Dunning08,1,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Anthus trivialis,Anthus,Motacillidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-4.604,1.572,-1.572,28,0.007,2.928,passage or breeding,citizen science data,passage or breeding,,1,inv,23.33,Dunning08,2,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-0.813,1.817,-1.817,30,0.658,0.447,passage or breeding,citizen science data,passage or breeding,,3,inv,48,Dunning08,5,0,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Phoenicurus phoenicurus,Phoenicurus,Muscicapidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-0.903,1.226,-1.226,28,0.468,0.737,passage or breeding,citizen science data,passage or breeding,,2,inv,14.59,Dunning08,4,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Saxicola rubetra,Saxicola,Muscicapidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-1.456,1.613,-1.613,25,0.376,0.903,passage or breeding,citizen science data,passage or breeding,,2,inv,16.6,Dunning08,4,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Cuculus canorus,Cuculus,Cuculidae,Cuculiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-3.894,1.595,-1.595,31,0.021,2.441,passage or breeding,citizen science data,passage or breeding,,1,inv,111.36,Dunning08,4,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Sylvia atricapilla,Sylvia,Sylviidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-9.115,4.376,-4.376,21,0.051,2.083,passage or breeding,citizen science data,passage or breeding,,2,inv,16.7,Dunning08,3,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Phylloscopus sibilatrix,Phylloscopus,Phylloscopidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,1.43,2.665,2.665,24,0.597,0.536,passage or breeding,citizen science data,passage or breeding,,2,inv,9.2,Dunning08,1,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Apus apus,Apus,Apodidae,Apodiformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-0.911,1.112,-1.112,29,0.42,0.819,passage or breeding,citizen science data,passage or breeding,,1,inv,37.6,Dunning08,8,1,northern
"Jenkins, D. & Sparks, T.H. (2010). The changing bird phenology of Mid Deeside, Scotland 1974-2010. Bird Study 57, 401-414. ",Sylvia borin,Sylvia,Sylviidae,Passeriformes,short,United Kingdom,57.1,2.8,Europe,1974,2010,temperature,first arrival,-7.041,8.652,-8.652,13,0.433,0.814,passage or breeding,citizen science data,passage or breeding,,2,inv,18.2,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Archilochus colubris,Archilochus,Trochilidae,Apodiformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.97,0.27,,,,,passage,standardized capture and ringing,passage,,2,other,3.09,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Contopus virens,Contopus,Tyrannidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.45,0.45,,,,,passage,standardized capture and ringing,passage,,1,inv,13.9,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax virescens,Empidonax,Tyrannidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.73,1.33,,,,,passage,standardized capture and ringing,passage,,2,inv,12.6,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax flaviventris,Empidonax,Tyrannidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.75,1.11,,,,,passage,standardized capture and ringing,passage,,1,inv,11.8,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax flaviventris,Empidonax,Tyrannidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.55,0.51,,,,,passage,standardized capture and ringing,passage,,1,inv,11.8,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax traillii,Empidonax,Tyrannidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,0.19,0.64,,,,,passage,standardized capture and ringing,passage,,1,inv,13.39,Dunning08,2,0,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax minimus,Empidonax,Tyrannidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.54,0.48,,,,,passage,standardized capture and ringing,passage,,1,inv,10,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Empidonax minimus,Empidonax,Tyrannidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.38,0.46,,,,,passage,standardized capture and ringing,passage,,1,inv,10,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-3.11,3.63,,,,,passage,standardized capture and ringing,passage,,1,inv,17.91,Dunning08,4,0,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Polioptila caerulea,Polioptila,Polioptilidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.94,0.89,,,,,passage,standardized capture and ringing,passage,,1,inv,5.8,Dunning08,4,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dumetella carolinensis,Dumetella,Mimidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.26,0.39,,,,,passage,standardized capture and ringing,passage,,2,inv,35.3,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Dumetella carolinensis,Dumetella,Mimidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-0.85,0.42,,,,,passage,standardized capture and ringing,passage,,2,inv,35.3,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Catharus ustulatus,Catharus,Turdidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-2.26,0.63,,,,,passage,standardized capture and ringing,passage,,2,inv,30.3,Dunning08,1,1,northern
