"","Year","Site","Treatment","Block","Plot","Species","Relative.Cover","Mean.Temp","SD.Temp","Richness"
"1",2012,"MAT","NFCT","1","1","moss",0.016,-9.45,16.82598099,15
"2",2012,"MAT","NFCT","1","1","lichen",0.008,-9.45,16.82598099,15
"3",2012,"MAT","NFCT","1","1","litter",0.048,-9.45,16.82598099,15
"4",2012,"MAT","NFCT","1","1","Bet nan",0.176,-9.45,16.82598099,15
"5",2012,"MAT","NFCT","1","1","Car big",0.016,-9.45,16.82598099,15
"6",2012,"MAT","NFCT","1","1","Cas tet",0.016,-9.45,16.82598099,15
"7",2012,"MAT","NFCT","1","1","Emp nig",0.008,-9.45,16.82598099,15
"8",2012,"MAT","NFCT","1","1","Eri vag",0.288,-9.45,16.82598099,15
"9",2012,"MAT","NFCT","1","1","Led pal",0.176,-9.45,16.82598099,15
"10",2012,"MAT","NFCT","1","1","Pol bis",0.008,-9.45,16.82598099,15
"11",2012,"MAT","NFCT","1","1","Rub cha",0.08,-9.45,16.82598099,15
"12",2012,"MAT","NFCT","1","1","Vac vit",0.16,-9.45,16.82598099,15
"13",2012,"MAT","NFCT","1","2","moss",0.061538462,-9.45,16.82598099,14
"14",2012,"MAT","NFCT","1","2","lichen",0.007692308,-9.45,16.82598099,14
"15",2012,"MAT","NFCT","1","2","litter",0.061538462,-9.45,16.82598099,14
"16",2012,"MAT","NFCT","1","2","bare",0.007692308,-9.45,16.82598099,14
"17",2012,"MAT","NFCT","1","2","Bet nan",0.2,-9.45,16.82598099,14
"18",2012,"MAT","NFCT","1","2","Cas tet",0.015384615,-9.45,16.82598099,14
"19",2012,"MAT","NFCT","1","2","Eri vag",0.369230769,-9.45,16.82598099,14
"20",2012,"MAT","NFCT","1","2","Led pal",0.107692308,-9.45,16.82598099,14
"21",2012,"MAT","NFCT","1","2","Ped sp.",0.015384615,-9.45,16.82598099,14
"22",2012,"MAT","NFCT","1","2","Rub cha",0.030769231,-9.45,16.82598099,14
"23",2012,"MAT","NFCT","1","2","Vac vit",0.123076923,-9.45,16.82598099,14
"24",2012,"MAT","NFCT","1","3","moss",0.091603053,-9.45,16.82598099,16
"25",2012,"MAT","NFCT","1","3","lichen",0.007633588,-9.45,16.82598099,16
"26",2012,"MAT","NFCT","1","3","litter",0.061068702,-9.45,16.82598099,16
"27",2012,"MAT","NFCT","1","3","Bet nan",0.213740458,-9.45,16.82598099,16
"28",2012,"MAT","NFCT","1","3","Car big",0.007633588,-9.45,16.82598099,16
"29",2012,"MAT","NFCT","1","3","Cas tet",0.007633588,-9.45,16.82598099,16
"30",2012,"MAT","NFCT","1","3","Emp nig",0.106870229,-9.45,16.82598099,16
"31",2012,"MAT","NFCT","1","3","Eri vag",0.229007634,-9.45,16.82598099,16
"32",2012,"MAT","NFCT","1","3","Led pal",0.045801527,-9.45,16.82598099,16
"33",2012,"MAT","NFCT","1","3","Ped sp.",0.007633588,-9.45,16.82598099,16
"34",2012,"MAT","NFCT","1","3","Rub cha",0.007633588,-9.45,16.82598099,16
"35",2012,"MAT","NFCT","1","3","Sal pul",0.007633588,-9.45,16.82598099,16
"36",2012,"MAT","NFCT","1","3","Vac uli",0.015267176,-9.45,16.82598099,16
"37",2012,"MAT","NFCT","1","3","Vac vit",0.183206107,-9.45,16.82598099,16
"38",2012,"MAT","NFCT","1","3","St. D. Bet.",0.007633588,-9.45,16.82598099,16
"39",2012,"MAT","NFCT","1","4","moss",0.055045872,-9.45,16.82598099,15
"40",2012,"MAT","NFCT","1","4","lichen",0.009174312,-9.45,16.82598099,15
"41",2012,"MAT","NFCT","1","4","litter",0.055045872,-9.45,16.82598099,15
"42",2012,"MAT","NFCT","1","4","Bet nan",0.146788991,-9.45,16.82598099,15
"43",2012,"MAT","NFCT","1","4","Car big",0.018348624,-9.45,16.82598099,15
"44",2012,"MAT","NFCT","1","4","Cas tet",0.018348624,-9.45,16.82598099,15
"45",2012,"MAT","NFCT","1","4","Emp nig",0.018348624,-9.45,16.82598099,15
"46",2012,"MAT","NFCT","1","4","Eri vag",0.256880734,-9.45,16.82598099,15
"47",2012,"MAT","NFCT","1","4","Led pal",0.110091743,-9.45,16.82598099,15
"48",2012,"MAT","NFCT","1","4","Rub cha",0.036697248,-9.45,16.82598099,15
"49",2012,"MAT","NFCT","1","4","Vac uli",0.036697248,-9.45,16.82598099,15
"50",2012,"MAT","NFCT","1","4","Vac vit",0.23853211,-9.45,16.82598099,15
"51",2012,"MAT","NFCT","1","5","moss",0.030534351,-9.45,16.82598099,16
"52",2012,"MAT","NFCT","1","5","lichen",0.007633588,-9.45,16.82598099,16
"53",2012,"MAT","NFCT","1","5","litter",0.015267176,-9.45,16.82598099,16
"54",2012,"MAT","NFCT","1","5","Bet nan",0.213740458,-9.45,16.82598099,16
"55",2012,"MAT","NFCT","1","5","Car big",0.030534351,-9.45,16.82598099,16
"56",2012,"MAT","NFCT","1","5","Cas tet",0.015267176,-9.45,16.82598099,16
"57",2012,"MAT","NFCT","1","5","Emp nig",0.061068702,-9.45,16.82598099,16
"58",2012,"MAT","NFCT","1","5","Eri vag",0.213740458,-9.45,16.82598099,16
"59",2012,"MAT","NFCT","1","5","Led pal",0.061068702,-9.45,16.82598099,16
"60",2012,"MAT","NFCT","1","5","Pol bis",0.015267176,-9.45,16.82598099,16
"61",2012,"MAT","NFCT","1","5","Rub cha",0.030534351,-9.45,16.82598099,16
"62",2012,"MAT","NFCT","1","5","Vac uli",0.152671756,-9.45,16.82598099,16
"63",2012,"MAT","NFCT","1","5","Vac vit",0.152671756,-9.45,16.82598099,16
"64",2012,"MAT","NFCT","1","6","moss",0.009345794,-9.45,16.82598099,16
"65",2012,"MAT","NFCT","1","6","lichen",0.018691589,-9.45,16.82598099,16
"66",2012,"MAT","NFCT","1","6","litter",0.037383178,-9.45,16.82598099,16
